,Coefficient,Std Error,p-value,% Effect
is_insured,-0.7722,0.3898,0.0476,-53.7984
log_consumption,0.1531,0.0251,0.0,16.5384
age,0.0039,0.0008,0.0,0.3891
household_size,0.01,0.0053,0.0559,1.0088
is_urban,-0.2055,0.0272,0.0,-18.5792
is_male,0.071,0.025,0.0046,7.3545
poor_health,0.4648,0.02,0.0,59.1626
visited_op,0.0891,0.0897,0.3206,9.3178
visited_ip,1.4502,0.0227,0.0,326.3948
op_private,1.905,0.019,0.0,571.9501
ip_private,1.7885,0.0315,0.0,498.0698
district_uhc_index,-0.0311,0.0015,0.0,-3.0666
ins_x_urban,0.1468,0.054,0.0066,15.808
ins_x_male,0.0319,0.0476,0.5035,3.2377
ins_x_log_cons,0.0741,0.0453,0.1016,7.6915
